Lemma,SFI rank,Standard Frequency Index,Adjusted Frequency per Million,,,,,,,,,,,,,,,,,
the,1,87.85,60910,,,,,,,,,,,,,,,,,
able,271,65.57,361,abler,ablest,,,,,,,,,,,,,,,
support,272,65.55,359,supports,supported,supporting,,,,,,,,,,,,,,
whether,273,65.55,359,,,,,,,,,,,,,,,,,
line,274,65.54,358,lines,lined,lining,,,,,,,,,,,,,,
present,275,65.54,358,presents,presented,presenting,,,,,,,,,,,,,,
side,276,65.51,356,sides,sided,siding,sidings,,,,,,,,,,,,,
quite,277,65.50,354,,,,,,,,,,,,,,,,,
although,278,65.46,351,,,,,,,,,,,,,,,,,
sure,279,65.45,351,surer,surest,,,,,,,,,,,,,,,
term,280,65.44,350,terms,termed,terming,,,,,,,,,,,,,,
least,281,65.44,350,,,,,,,,,,,,,,,,,
age,282,65.43,349,ages,aged,aging,ageing,,,,,,,,,,,,,
low,283,65.43,349,lows,lowed,lowing,lower,lowest,lowers,lowered,lowering,,,,,,,,,
speak,284,65.42,348,speaks,spoke,speaking,spoken,,,,,,,,,,,,,
within,285,65.40,347,,,,,,,,,,,,,,,,,
process,286,65.40,346,processes,processed,processing,,,,,,,,,,,,,,
public,287,65.35,343,publics,,,,,,,,,,,,,,,,
often,288,65.33,341,,,,,,,,,,,,,,,,,
train,289,65.29,338,trains,trained,training,trainings,,,,,,,,,,,,,
possible,290,65.28,337,,,,,,,,,,,,,,,,,
actually,291,65.28,337,,,,,,,,,,,,,,,,,
rather,292,65.27,336,,,,,,,,,,,,,,,,,
view,293,65.26,336,views,viewed,viewing,,,,,,,,,,,,,,
together,294,65.24,334,,,,,,,,,,,,,,,,,
consider,295,65.24,334,considers,considered,considering,,,,,,,,,,,,,,
price,296,65.14,327,prices,priced,pricing,pricings,,,,,,,,,,,,,
parent,297,65.14,326,parents,parented,parenting,,,,,,,,,,,,,,
hard,298,65.12,325,harder,hardest,,,,,,,,,,,,,,,
party,299,65.08,322,parties,partied,partying,,,,,,,,,,,,,,
local,300,65.06,321,locals,,,,,,,,,,,,,,,,
control,301,65.05,320,controls,controlled,controlling,,,,,,,,,,,,,,
already,302,65.02,318,,,,,,,,,,,,,,,,,
concern,303,65.02,317,concerns,concerned,concerning,,,,,,,,,,,,,,
product,304,65.01,317,products,,,,,,,,,,,,,,,,
lose,305,65.00,316,loses,lost,losing,,,,,,,,,,,,,,
story,306,64.98,315,stories,storied,storey,storys,,,,,,,,,,,,,
almost,307,64.98,315,,,,,,,,,,,,,,,,,
continue,308,64.96,314,continues,continued,continuing,,,,,,,,,,,,,,
stand,309,64.95,313,stands,stood,standing,,,,,,,,,,,,,,
whole,310,64.95,313,wholes,,,,,,,,,,,,,,,,
yet,311,64.95,313,,,,,,,,,,,,,,,,,
rate,312,64.94,312,rates,rated,rating,ratings,,,,,,,,,,,,,
care,313,64.93,311,cares,cared,caring,,,,,,,,,,,,,,
expect,314,64.93,311,expects,expected,expecting,,,,,,,,,,,,,,
effect,315,64.93,311,effects,effected,effecting,,,,,,,,,,,,,,
sort,316,64.92,311,sorts,sorted,sorting,,,,,,,,,,,,,,
ever,317,64.92,311,,,,,,,,,,,,,,,,,
anything,318,64.92,310,,,,,,,,,,,,,,,,,
cause,319,64.90,309,causes,caused,causing,,,,,,,,,,,,,,
fall,320,64.89,309,falls,fell,falling,fallen,,,,,,,,,,,,,
deal,321,64.89,309,deals,dealing,dealt,,,,,,,,,,,,,,
water,322,64.87,307,waters,watered,watering,,,,,,,,,,,,,,
send,323,64.86,306,sends,sending,sent,,,,,,,,,,,,,,
allow,324,64.84,305,allows,allowed,allowing,,,,,,,,,,,,,,
soon,325,64.84,304,sooner,soonest,,,,,,,,,,,,,,,
watch,326,64.80,302,watches,watched,watching,,,,,,,,,,,,,,
base,327,64.78,300,bases,based,basing,baser,basest,,,,,,,,,,,,
probably,328,64.75,299,,,,,,,,,,,,,,,,,
suggest,329,64.74,298,suggests,suggested,suggesting,,,,,,,,,,,,,,
past,330,64.73,297,,,,,,,,,,,,,,,,,
power,331,64.72,296,powers,powered,powering,,,,,,,,,,,,,,
test,332,64.71,296,tests,tested,testing,,,,,,,,,,,,,,
visit,333,64.70,295,visits,visited,visiting,,,,,,,,,,,,,,
center,334,64.70,295,centers,centered,centering,centre,centres,centred,,,,,,,,,,,
grow,335,64.69,294,grows,grew,growing,grown,,,,,,,,,,,,,
nothing,336,64.68,294,,,,,,,,,,,,,,,,,
return,337,64.68,294,returns,returned,returning,,,,,,,,,,,,,,
mother,338,64.67,293,mothers,mothered,mothering,,,,,,,,,,,,,,
walk,339,64.63,291,walks,walked,walking,,,,,,,,,,,,,,
matter,340,64.63,290,matters,mattered,mattering,,,,,,,,,,,,,,
mind,341,64.62,290,minds,minded,minding,,,,,,,,,,,,,,
value,342,64.61,289,values,valued,valuing,,,,,,,,,,,,,,
office,343,64.59,288,offices,,,,,,,,,,,,,,,,
record,344,64.59,287,records,recorded,recording,recordings,,,,,,,,,,,,,
stay,345,64.57,286,stays,stayed,staying,,,,,,,,,,,,,,
force,346,64.57,286,forces,forced,forcing,,,,,,,,,,,,,,
stop,347,64.55,285,stops,stopped,stopping,,,,,,,,,,,,,,
several,348,64.54,285,,,,,,,,,,,,,,,,,
light,349,64.53,284,lights,lighted,lit,lighting,lightest,,,,,,,,,,,,
develop,350,64.51,282,develops,developed,developing,,,,,,,,,,,,,,
remember,351,64.50,282,remembers,remembered,remembering,,,,,,,,,,,,,,
bit,352,64.49,281,bits,bitted,,,,,,,,,,,,,,,
share,353,64.48,281,shares,shared,sharing,,,,,,,,,,,,,,
real,354,64.47,280,realer,,,,,,,,,,,,,,,,
answer,355,64.46,279,answers,answered,answering,,,,,,,,,,,,,,
sit,356,64.44,278,sits,sat,sitting,,,,,,,,,,,,,,
figure,357,64.43,278,figures,figured,figuring,,,,,,,,,,,,,,
letter,358,64.43,277,letters,lettering,letterings,,,,,,,,,,,,,,
decide,359,64.41,276,decides,decided,deciding,,,,,,,,,,,,,,
language,360,64.39,275,languages,,,,,,,,,,,,,,,,
subject,361,64.35,273,subjects,subjected,subjecting,,,,,,,,,,,,,,
class,362,64.35,272,classes,classed,classing,,,,,,,,,,,,,,
development,363,64.31,270,developments,,,,,,,,,,,,,,,,
town,364,64.31,269,towns,,,,,,,,,,,,,,,,
half,365,64.29,269,halves,halved,halving,,,,,,,,,,,,,,
minute,366,64.28,268,minutes,,,,,,,,,,,,,,,,
food,367,64.28,268,foods,,,,,,,,,,,,,,,,
break,368,64.28,268,breaks,broke,breaking,broken,,,,,,,,,,,,,
clear,369,64.25,266,clears,cleared,clearing,clearer,clearest,,,,,,,,,,,,
future,370,64.24,266,futures,,,,,,,,,,,,,,,,
either,371,64.24,266,,,,,,,,,,,,,,,,,
ago,372,64.24,265,,,,,,,,,,,,,,,,,
per,373,64.24,265,,,,,,,,,,,,,,,,,
remain,374,64.24,265,remains,remained,remaining,,,,,,,,,,,,,,
top,375,64.23,265,tops,topped,topping,toppings,,,,,,,,,,,,,
among,376,64.23,265,,,,,,,,,,,,,,,,,
win,377,64.21,264,wins,winning,winnings,,,,,,,,,,,,,,
color,378,64.20,263,colors,colored,coloring,colorings,colour,colours,coloured,colouring,,,,,,,,,
involve,379,64.16,260,involves,involved,involving,,,,,,,,,,,,,,
reach,380,64.15,260,reaches,reached,reaching,,,,,,,,,,,,,,
social,381,64.15,260,socials,,,,,,,,,,,,,,,,
period,382,64.13,259,periods,,,,,,,,,,,,,,,,
across,383,64.12,258,,,,,,,,,,,,,,,,,
note,384,64.12,258,notes,noted,noting,,,,,,,,,,,,,,
history,385,64.12,258,histories,,,,,,,,,,,,,,,,
create,386,64.11,258,creates,created,creating,,,,,,,,,,,,,,
drive,387,64.11,258,drives,drove,driving,driven,,,,,,,,,,,,,
along,388,64.10,257,,,,,,,,,,,,,,,,,
type,389,64.09,257,types,typed,typing,,,,,,,,,,,,,,
sound,390,64.08,256,sounds,sounded,sounding,,,,,,,,,,,,,,
eye,391,64.07,256,eyes,eyed,eyeing,,,,,,,,,,,,,,
music,392,64.07,255,,,,,,,,,,,,,,,,,
game,393,64.07,255,games,gamed,gaming,,,,,,,,,,,,,,
political,394,64.06,255,,,,,,,,,,,,,,,,,
free,395,64.06,255,frees,freed,freeing,freer,freest,,,,,,,,,,,,
receive,396,64.05,254,receives,received,receiving,,,,,,,,,,,,,,
moment,397,64.05,254,moments,,,,,,,,,,,,,,,,
sale,398,64.04,254,sales,,,,,,,,,,,,,,,,
policy,399,64.04,253,policies,,,,,,,,,,,,,,,,
further,400,63.99,251,furthers,furthered,furthering,,,,,,,,,,,,,,
body,401,63.98,250,bodies,bodied,bodying,,,,,,,,,,,,,,
require,402,63.97,249,requires,required,requiring,,,,,,,,,,,,,,
wait,403,63.96,249,waits,waited,waiting,,,,,,,,,,,,,,
general,404,63.95,248,generals,,,,,,,,,,,,,,,,
appear,405,63.95,248,appears,appeared,appearing,,,,,,,,,,,,,,
toward,406,63.95,248,towards,,,,,,,,,,,,,,,,
team,407,63.95,248,teams,teamed,teaming,,,,,,,,,,,,,,
easy,408,63.95,248,easier,easiest,,,,,,,,,,,,,,,
individual,409,63.95,248,individuals,,,,,,,,,,,,,,,,
full,410,63.95,248,fuller,fullest,,,,,,,,,,,,,,,
black,411,63.94,248,blacks,blacked,blacking,blacker,blackest,,,,,,,,,,,,
sense,412,63.92,247,senses,sensed,sensing,,,,,,,,,,,,,,
perhaps,413,63.91,246,,,,,,,,,,,,,,,,,
add,414,63.89,245,adds,added,adding,,,,,,,,,,,,,,
rule,415,63.88,245,rules,ruled,ruling,rulings,,,,,,,,,,,,,
pass,416,63.86,243,passes,passed,passing,,,,,,,,,,,,,,
produce,417,63.86,243,produces,produced,producing,,,,,,,,,,,,,,
sell,418,63.86,243,sells,sold,selling,,,,,,,,,,,,,,
short,419,63.81,241,shorts,shorted,shorting,shorter,shortest,,,,,,,,,,,,
agree,420,63.81,240,agrees,agreed,agreeing,,,,,,,,,,,,,,
law,421,63.79,239,laws,,,,,,,,,,,,,,,,
everything,422,63.77,238,,,,,,,,,,,,,,,,,
research,423,63.75,237,researches,researched,researching,,,,,,,,,,,,,,
